course_name,subject,tags,url
Managing Human Resources for Health Module Guide,healthcare,"Healthcare Management, Healthcare Administration, Human Resources",http://open.umich.edu/education/med/oernetwork/health-admin/org-admin/managing-hr-health/2010.html
Public Health Emergency Planning and Management for Districts,healthcare,"Public Health, Healthcare Policy, Disaster Management",http://open.umich.edu/education/med/oernetwork/public-health/ep/disaster-response/2012.html
Public Hygiene and Epidemiology,healthcare,"Public Health, Epidemiology",http://ocw.tudelft.nl//courses/watermanagement/public-hygiene-and-epidemiology/course-home/
PPM 121 Nutrition and Medicine,healthcare,"Nutrition, Human Health",http://ocw.tufts.edu/Course/47
Workshops in End-of-Life Training for Health Professionals in Children's Hospitals,healthcare,"Pediatrics, Medicine",http://open.umich.edu/education/med/resources/palliative-care/2010.html
Using Asthma Equipment with Children,healthcare,"Pediatrics, Medicine",http://open.umich.edu/education/med/resources/pediatric-asthma-equipment/2011.html
Lennox Castle Hospital,healthcare,"History, Healthcare Administration",http://www.open.edu/openlearn/body-mind/social-care/lennox-castle-hospital/content-section-0?name=K100_7
Motivational Interviewing,healthcare,"Communications, Medical Communication",http://ocw.tufts.edu/Content/70/lecturenotes/1259452
Special Care in Dentistry,healthcare,"Dental, Medicine, Special Needs",http://ocw.tufts.edu/Course/56/Coursehome
Foundations of Public Health,healthcare,"Public Health, Epidemiology, Research",http://ocw.uci.edu/courses/Foundations-of-Public-Health-Pub-Hlth-200.aspx
Medical Ethics,healthcare,"Ethics, Medicine",http://ocw.nd.edu/philosophy/medical-ethics
African American Studies 40A: African American Studies,humanities,"Culture Studies, Creative Studies",http://ocw.uci.edu/courses/African-American-Studies-40A-African-American-Studies.aspx
"Monarchs, People, and History",humanities,"History, Organizational Leadership, Institutional Leadership",http://ocw.umb.edu/history/monarchs-people-and-history
New Media Literacies,humanities,"Literacy, New Media, History",http://ocw.mit.edu/courses/comparative-media-studies/cms-998-new-media-literacies-spring-2007/
Understanding Records and Archives: Principles and Practices,humanities,"History, Sociology, Archival Science",http://open.umich.edu/education/si/si580/winter2009.html
Forms of Democracy in Nineteenth-Century U.S. Literature,humanities,"Language Arts, Literature, Political Science",http://ocw.nd.edu/english/forms-of-democracy-in-nineteenth-century-u.s.-literature
Reinventing the Fairy Tale,humanities,"Reading, Language Arts, Literature",http://ocw.nd.edu/english/reinventing-the-fairy-tale
Women's Narrative in the Southern Cone,humanities,"Reading, Language Arts, Literature, Sociology, Spanish",http://ocw.nd.edu/romance-languages-and-literatures/womens-narrative-in-the-southern-cone
Cultural Anthropology,humanities,"Anthropology, Cultural Studies",http://ocw.vu.edu.pk/CourseDetails.aspx?cat=Sociology&course=SOC401
Introduction to Sociology,humanities,"Sociology, Social Science",http://ocw.vu.edu.pk/CourseDetails.aspx?cat=Sociology&course=SOC101
"Internet History, Technology, and Security",information-technology,"IT Security, Cyber Security",http://open.umich.edu/education/si/coursera-ihts/summer2012.html
Ethics and Information Technology,information-technology,"Ethics, Cyber Security",http://open.umich.edu/education/si/si410/fall2010.html
SI 640/ SI740: Digital Libraries and Archives,information-technology,Library Science,http://open.umich.edu/education/si/si640/winter2009.html
SI 657/757: Information Technology and Global Development,information-technology,"Instructional Technology, Information Policies",http://open.umich.edu/education/si/si657/winter2010.html
SI 615: Seminar on Digital Libraries,information-technology,Library Science,http://open.umich.edu/education/si/si615/winter2008.html
SI 643: Professional Practice in Libraries and Information Centers,information-technology,Library Science,http://open.umich.edu/education/si/si643/winter2009.html
SI 626: Management of Libraries and Information Services,information-technology,"Library Science, Management, Public Relations",http://open.umich.edu/education/si/si626/winter2009.html
Leadership and Management: Managing Change in Healthcare IT Implementations,information-technology,"Management Information Systems, Healthcare Management",http://open.umich.edu/education/med/oernetwork/informatics/med/managing-change-healthcare-it/2011.html
Database Systems,information-technology,"Database, Systems, Technology",http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-830-database-systems-fall-2010/index.htm
Data Mining,information-technology,"Data, Mining, Data Warehouses, Technology, Statistics",http://ocw.mit.edu/courses/sloan-school-of-management/15-062-data-mining-spring-2003/index.htm
Microsoft PowerPoint - Lesson 1,information-technology,"Presentations, Microsoft, PowerPoint, Slides",http://ocw.usu.edu/instructional-technology-learning-sciences/computer-applications-for-instruction-and-training/Microsoft_PowerPoint_-_Lesson_1.html
Practical Programming in C,information-technology,"C, Programming, Software, Unix",http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-087-practical-programming-in-c-january-iap-2010/index.htm
Creole Language and Culture,language,"Culture Studies, Creative Studies, Linguistics, Reading",http://ocw.nd.edu/romance-languages-and-literatures/creole-language-and-culture
Germany Today: Intensive Study of German Language and Culture,language,"German, Language, Culture, Professionals",http://ocw.mit.edu/courses/foreign-languages-and-literatures/21f-405-germany-today-intensive-study-of-german-language-and-culture-january-iap-2011/index.htm
Portuguese II,language,"Portuguese, Linguistics, Language",http://ocw.mit.edu/courses/foreign-languages-and-literatures/21f-802-portuguese-ii-spring-2012/index.htm
Chinese I (Regular),language,"Chinese, Mandarin, Language",http://ocw.mit.edu/courses/foreign-languages-and-literatures/21f-101-chinese-i-regular-spring-2006/index.htm
Elementary Russian I,language,"Russian, Language, Vocabulary, Culture",http://ocw.usask.ca/AR/RUSS/114/
Intermediate Japanese I,language,"Language, Japanese",http://ocw.mit.edu/courses/foreign-languages-and-literatures/21f-503-intermediate-japanese-i-fall-2004/
English as a Second Language (ESL) Podcast - Learn English Online,language,"English, Language, Secondary Language",https://itunes.apple.com/us/podcast/english-as-second-language/id75908431?mt=2&ign-mpt=uo%3D4
Japanese I,language,"Language, Japanese",http://ocw.mit.edu/courses/foreign-languages-and-literatures/21f-501-japanese-i-fall-2012/
Linear Partial Differential Equations,math,"Differential Equations, Applied Mathematics, Wave Equations",http://ocw.mit.edu/courses/mathematics/18-303-linear-partial-differential-equations-fall-2006/
Geometry and Quantum Field Theory,math,"Quantum Field Theory, Geometry, Functional Integrals",http://ocw.mit.edu/courses/mathematics/18-238-geometry-and-quantum-field-theory-fall-2002/index.htm
Combinatorial Optimization,math,"Combinatorial Optimization, Linear Programming",http://ocw.mit.edu/courses/mathematics/18-433-combinatorial-optimization-fall-2003/index.htm
Introduction to Numerical Methods,math,"Numerical Linear Algebra, Numerical Methods, Differential Equations",http://ocw.mit.edu/courses/mathematics/18-335j-introduction-to-numerical-methods-fall-2004/
Measure and Integration,math,"Fourier Transform, Integration",http://ocw.mit.edu/courses/mathematics/18-125-measure-and-integration-fall-2003/index.htm
Topics in Several Complex Variables,math,"Harmonic Theory, Decomposition Theorem",http://ocw.mit.edu/courses/mathematics/18-117-topics-in-several-complex-variables-spring-2005/index.htm
Discrete Mathematics for Computer Science,math,"Modular Arithmetic, Polynomials, Probability, Statistics",http://www-inst.eecs.berkeley.edu/~cs70/fa06/#lecturenotes
Abstract Algebra,math,"Group Fundamentals, Algebraic Number Theory, Geometry",http://www.math.uiuc.edu/~r-ash/Algebra.html
Algebraic Number Theory,math,"Prime Ideals, Discriminants, Number Theory",http://www.math.uiuc.edu/~r-ash/ANT.html
Commutative Algebra,math,"Algebra, Ring Theory, Dimension Theory",http://www.math.uiuc.edu/~r-ash/ComAlg.html
Complex Variables,math,"Elementary Theory, Complex Variables, Analytic Functions",http://www.math.uiuc.edu/~r-ash/CV.html
Statistics,math,"Statistics, Probability",http://www.math.uiuc.edu/~r-ash/Stat.html
Analytic Number Theory I,math,"Analytic Techniques, Number Theory",http://www.math.psu.edu/rvaughan/Math571F04.html
Complex Numbers and Ordinary Differential Equations,math,"Differentials, Complex Numbers",http://www.physics.ox.ac.uk/users/ross/lecturenotes.htm
Geometry,math,"Algebraic Curves, Differentiable Manifolds, Geometry",http://people.maths.ox.ac.uk/hitchin/hitchinnotes/hitchinnotes.html
Statistics,math,"Statistics, Probability, Simulation",http://www.stats.ox.ac.uk/~reinert/
Analysis of Boolean Functions,math,"Boolean Functions, Linearity, Fourier Expansion",https://www.cs.cmu.edu/~odonnell/boolean-analysis/
Polynomials of Random Variables,math,"Polynomials, Random Variables, Probability, Statistics",http://www.stat.berkeley.edu/~mossel/teach/206af05/index.htm
Topics in Geometry: Dirac Geometry,math,"Geometry, Symmetry",http://ocw.mit.edu/courses/mathematics/18-969-topics-in-geometry-dirac-geometry-fall-2006/
Random Walks and Diffusion,math,"Random Walks, Diffusion",http://ocw.mit.edu/courses/mathematics/18-366-random-walks-and-diffusion-fall-2006/index.htm
Single Variable Calculus,math,"Calculus, Differentiation, Functions",http://ocw.mit.edu/courses/mathematics/18-01-single-variable-calculus-fall-2005/
Geometry of Manifolds,math,"Geometry, Manifolds",http://ocw.mit.edu/courses/mathematics/18-966-geometry-of-manifolds-spring-2007/index.htm
Calculus of Several Variables,math,Multivariable Calculus,http://ocw.mit.edu/courses/mathematics/18-022-calculus-of-several-variables-fall-2010/
Honors Differential Equations,math,"Differential Equations, Existence Theorems",http://ocw.mit.edu/courses/mathematics/18-034-honors-differential-equations-spring-2009/
Single Variable Calculus,math,"Calculus, Math, Mathematics",http://ocw.mit.edu/courses/mathematics/18-01sc-single-variable-calculus-fall-2010/
Problem Solving Seminar,math,"Math, Mathematics, Problem Solving, Techniques",http://ocw.mit.edu/courses/mathematics/18-s34-problem-solving-seminar-fall-2007/assignments/
